,Day,Baseline MSE,Conv3d MSE,ConvLSTM MSE,Encoder-decoder MSE
0,1,0.001652981409701681,0.00165749526463563,0.00345778701472911,0.001904877597394285
1,2,0.0053086736510756,0.00532916987238452,0.00789977115677035,0.00577707614791118
2,3,0.00926877710627012,0.0093218061077651,0.01180064650938071,0.01004555784625771
3,4,0.01313448351996825,0.01313027985265679,0.01516892942345155,0.01395540916234722
4,5,0.0169409164803145,0.01688137208519685,0.0182348064416211,0.0174474892066103
5,6,0.0206754475427716,0.02055716576363287,0.0211046425566915,0.0206491464232
6,7,0.02440934602016175,0.02423443624911884,0.02389626371444425,0.02372679138416161
7,8,0.02825601673983815,0.02803102111583838,0.02676469976991764,0.0269173132430269
8,9,0.032067237113274,0.03180934474010726,0.0295870803765563,0.030055418917181
9,10,0.035635775063318,0.0353754128175725,0.032176562697217,0.032891721046655
10,11,0.0391504944433727,0.0388676498452622,0.034823091632254,0.0355609067600868
11,12,0.042899035404521,0.042240393414328,0.03718964818446597,0.0383720775872282
12,13,0.0468456220052678,0.0460007302264327,0.04110737309152806,0.04132668010128505
13,14,0.0508812682110077,0.04992182737006553,0.0438763002599999,0.0442849130024362
14,15,0.05529886555915161,0.0542236290914113,0.0464270646534684,0.04742969803068082
15,16,0.060263100129732,0.05907599378369817,0.0491723908173058,0.05081512586061337
16,17,0.0655939177466754,0.0643030302387569,0.0521018922628743,0.054182613391989
17,18,0.0710761790194901,0.0697024135650648,0.05505648314852918,0.0574386915297901
18,19,0.0766696822368922,0.075225020741348,0.0580294515606543,0.0604927889767661
19,20,0.0821719815719783,0.0806751643679269,0.0608695398978099,0.063290810406962
20,21,0.0874769329715839,0.0858322490081066,0.0635497470106262,0.066005256186533
21,22,0.0928534874191481,0.0913050773212448,0.066491318737437,0.068845098001567
22,23,0.098580661442853,0.0959261670524691,0.0762479619597574,0.071907195789097
23,24,0.1045089789124418,0.1017851327327198,0.0821927080356462,0.0749677121139593
24,25,0.1103944666519013,0.1074761656831085,0.0873383317228461,0.0779961712602761
25,26,0.1162948015349937,0.1131526491769547,0.092312069023514,0.0811468030490302
26,27,0.1225276622007649,0.1191461508166152,0.0971730852468659,0.0849466299142184
27,28,0.1290968441596174,0.1254688478646309,0.1019421626728966,0.0894146898755429
28,29,0.1358896635451198,0.1320152102474613,0.1064462148639927,0.0942101777281235
29,30,0.1429088925683013,0.1387782609239254,0.110755282010888,0.0990252943232262
